year,quarter,topic,mention_count,companies_mentioned,total_companies,importance_pct,growth_pct
2018,3,AI,1,1,1,100.0,0.0
2018,3,Cost optimization,2,1,1,100.0,0.0
2018,3,Geopolitical uncertainty,36,1,1,100.0,0.0
2018,3,Guidance,18,1,1,100.0,0.0
2018,3,Inflation,1,1,1,100.0,0.0
2018,3,Segment performance,47,1,1,100.0,0.0
2018,3,Supply chain,3,1,1,100.0,0.0
2018,3,Sustainability,2,1,1,100.0,0.0
2018,4,AI,21,4,7,57.14285714285714,200.0
2018,4,Advertising,135,7,7,100.0,0.0
2018,4,Cost optimization,37,6,7,85.71428571428571,200.0
2018,4,Geopolitical uncertainty,124,7,7,100.0,200.0
2018,4,Guidance,116,7,7,100.0,200.0
2018,4,Inflation,6,3,7,42.857142857142854,200.0
2018,4,Segment performance,208,7,7,100.0,200.0
2018,4,Supply chain,35,5,7,71.42857142857143,200.0
2018,4,Sustainability,2,2,7,28.57142857142857,0.0
2019,1,AI,18,4,8,50.0,-14.285714285714285
2019,1,Advertising,136,7,8,87.5,0.7407407407407408
2019,1,Cost optimization,34,8,8,100.0,-8.108108108108109
2019,1,Geopolitical uncertainty,170,8,8,100.0,37.096774193548384
2019,1,Guidance,101,8,8,100.0,-12.931034482758621
2019,1,Inflation,7,1,8,12.5,16.666666666666664
2019,1,Segment performance,241,8,8,100.0,15.865384615384615
2019,1,Supply chain,34,6,8,75.0,-2.857142857142857
2019,1,Sustainability,2,2,8,25.0,0.0
2019,2,AI,19,5,9,55.55555555555556,5.555555555555555
2019,2,Advertising,130,8,9,88.88888888888889,-4.411764705882353
2019,2,Cost optimization,45,8,9,88.88888888888889,32.35294117647059
2019,2,Geopolitical uncertainty,188,9,9,100.0,10.588235294117647
2019,2,Guidance,156,9,9,100.0,54.45544554455446
2019,2,Inflation,1,1,9,11.11111111111111,-85.71428571428571
2019,2,Segment performance,263,9,9,100.0,9.12863070539419
2019,2,Supply chain,35,7,9,77.77777777777779,2.941176470588235
2019,2,Sustainability,3,3,9,33.33333333333333,50.0
2019,3,AI,23,5,9,55.55555555555556,21.052631578947366
2019,3,Advertising,98,7,9,77.77777777777779,-24.615384615384617
2019,3,Cost optimization,53,7,9,77.77777777777779,17.77777777777778
2019,3,Geopolitical uncertainty,170,9,9,100.0,-9.574468085106384
2019,3,Guidance,127,9,9,100.0,-18.58974358974359
2019,3,Inflation,3,2,9,22.22222222222222,200.0
2019,3,Segment performance,295,9,9,100.0,12.167300380228136
2019,3,Supply chain,31,7,9,77.77777777777779,-11.428571428571429
2019,3,Sustainability,14,3,9,33.33333333333333,200.0
2019,4,AI,28,4,9,44.44444444444444,21.73913043478261
2019,4,Advertising,122,8,9,88.88888888888889,24.489795918367346
2019,4,Cost optimization,53,8,9,88.88888888888889,0.0
2019,4,Geopolitical uncertainty,205,9,9,100.0,20.588235294117645
2019,4,Guidance,177,9,9,100.0,39.37007874015748
2019,4,Inflation,2,1,9,11.11111111111111,-33.33333333333333
2019,4,Segment performance,287,9,9,100.0,-2.711864406779661
2019,4,Supply chain,39,8,9,88.88888888888889,25.806451612903224
2019,4,Sustainability,11,3,9,33.33333333333333,-21.428571428571427
2020,1,AI,34,6,11,54.54545454545454,21.428571428571427
2020,1,Advertising,144,9,11,81.81818181818183,18.0327868852459
2020,1,Cost optimization,57,8,11,72.72727272727273,7.547169811320755
2020,1,Geopolitical uncertainty,189,11,11,100.0,-7.804878048780488
2020,1,Guidance,193,11,11,100.0,9.03954802259887
2020,1,Inflation,3,2,11,18.181818181818183,50.0
2020,1,Segment performance,333,11,11,100.0,16.02787456445993
2020,1,Supply chain,64,8,11,72.72727272727273,64.1025641025641
2020,1,Sustainability,4,2,11,18.181818181818183,-63.63636363636363
2020,2,AI,33,7,11,63.63636363636363,-2.941176470588235
2020,2,Advertising,164,9,11,81.81818181818183,13.88888888888889
2020,2,Cost optimization,68,10,11,90.9090909090909,19.298245614035086
2020,2,Geopolitical uncertainty,203,11,11,100.0,7.4074074074074066
